region	chr	midPos	Nsites
(4418,40265)(61020031,61069999)(61020000,61070000)	11	61045000	35849	0.453405
(11889,48764)(61030000,61079726)(61030000,61080000)	11	61055000	36877	0.437886
(18991,56518)(61040011,61089999)(61040000,61090000)	11	61065000	37529	0.484116
(26168,64991)(61050000,61099999)(61050000,61100000)	11	61075000	38825	0.509115
(33443,72417)(61060000,61109999)(61060000,61110000)	11	61085000	38976	0.547191
(40266,80220)(61070000,61119999)(61070000,61120000)	11	61095000	39956	0.552148
(48765,88286)(61080049,61129999)(61080000,61130000)	11	61105000	39523	0.593415
(56519,96261)(61090000,61139934)(61090000,61140000)	11	61115000	39744	0.569490
(64992,101948)(61100000,61149999)(61100000,61150000)	11	61125000	36958	0.570640
(72418,108406)(61110000,61159984)(61110000,61160000)	11	61135000	35990	0.483503
(80221,115661)(61120000,61169999)(61120000,61170000)	11	61145000	35442	0.452435
(88287,123662)(61130000,61179996)(61130000,61180000)	11	61155000	35377	0.414933
(96262,131396)(61140019,61189966)(61140000,61190000)	11	61165000	35136	0.420040
(101949,136820)(61150000,61199870)(61150000,61200000)	11	61175000	34873	0.388063
(108407,144116)(61160150,61209999)(61160000,61210000)	11	61185000	35711	0.387446
(115662,152643)(61170000,61219999)(61170000,61220000)	11	61195000	36983	0.405961
(123663,160619)(61180002,61229999)(61180000,61230000)	11	61205000	36958	0.439642
(131397,167156)(61190236,61239890)(61190000,61240000)	11	61215000	35761	0.436684
(136821,175072)(61200041,61249995)(61200000,61250000)	11	61225000	38253	0.403490
(144117,182419)(61210000,61259968)(61210000,61260000)	11	61235000	38304	0.378914
(152644,189890)(61220000,61269999)(61220000,61270000)	11	61245000	37248	0.345932
(160620,196715)(61230000,61279999)(61230000,61280000)	11	61255000	36097	0.270117
(167157,203742)(61240121,61289999)(61240000,61290000)	11	61265000	36587	0.265338
(175073,211290)(61250020,61299999)(61250000,61300000)	11	61275000	36219	0.280315
(182420,217752)(61260109,61309997)(61260000,61310000)	11	61285000	35334	0.279380
(189891,223028)(61270000,61319999)(61270000,61320000)	11	61295000	33139	0.297927
(196716,231011)(61280000,61329999)(61280000,61330000)	11	61305000	34297	0.263334
(203743,239501)(61290000,61339999)(61290000,61340000)	11	61315000	35760	0.216640
