region	chr	midPos	Nsites	Fst01	Fst02	Fst12	PBS0	PBS1	PBS2
(3687,36943)(61020031,61069999)(61020000,61070000)	11	61045000	33258	0.466754	0.495678	0.014625	0.649291	-0.020517	0.035250
(10672,45151)(61030000,61079726)(61030000,61080000)	11	61055000	34481	0.446328	0.471480	0.022747	0.602924	-0.011741	0.034751
(17159,51907)(61040011,61089999)(61040000,61090000)	11	61065000	34750	0.476510	0.491657	0.035674	0.643754	0.003482	0.032844
(23771,60019)(61050000,61099999)(61050000,61100000)	11	61075000	36250	0.492152	0.499951	0.040505	0.664637	0.012936	0.028412
(30655,66855)(61060000,61109999)(61060000,61110000)	11	61085000	36202	0.535534	0.538954	0.045340	0.747362	0.019505	0.026895
(36944,73975)(61070000,61119991)(61070000,61120000)	11	61095000	37033	0.531936	0.529999	0.058379	0.727009	0.032140	0.028012
(45152,81347)(61080049,61129999)(61080000,61130000)	11	61105000	36197	0.578812	0.575819	0.037606	0.841969	0.022706	0.015625
(51908,88650)(61090000,61139934)(61090000,61140000)	11	61115000	36744	0.568607	0.582089	0.011828	0.850663	-0.009926	0.021824
(60020,93876)(61100000,61149999)(61100000,61150000)	11	61125000	33858	0.583211	0.600581	-0.005084	0.898995	-0.023821	0.018750
(66856,99565)(61110000,61159984)(61110000,61160000)	11	61135000	32711	0.502143	0.513886	-0.008534	0.713626	-0.016183	0.007685
(73976,106015)(61120052,61169999)(61120000,61170000)	11	61145000	32041	0.478183	0.495925	0.028117	0.653474	-0.003035	0.031555
(81348,113446)(61130000,61179996)(61130000,61180000)	11	61155000	32100	0.412512	0.431079	0.023049	0.536297	-0.004397	0.027716
(88651,120567)(61140019,61189966)(61140000,61190000)	11	61165000	31918	0.416037	0.431995	0.017274	0.543059	-0.005141	0.022566
(93877,125625)(61150000,61199870)(61150000,61200000)	11	61175000	31750	0.348616	0.370223	0.014315	0.438313	-0.009657	0.024076
(99566,132352)(61160188,61209999)(61160000,61210000)	11	61185000	32788	0.312015	0.349830	0.007552	0.398465	-0.024476	0.032057
(106016,140420)(61170000,61219999)(61170000,61220000)	11	61195000	34406	0.345235	0.394665	-0.020390	0.472819	-0.049340	0.029155
(113447,147866)(61180002,61229999)(61180000,61230000)	11	61205000	34421	0.401748	0.452511	-0.018523	0.567255	-0.053512	0.035158
(120568,153275)(61190236,61239890)(61190000,61240000)	11	61215000	32709	0.393862	0.451893	-0.016894	0.559343	-0.058695	0.041942
(125626,160701)(61200041,61249995)(61200000,61250000)	11	61225000	35077	0.381942	0.436051	-0.017142	0.535480	-0.054308	0.037311
(132353,167322)(61210000,61259968)(61210000,61260000)	11	61235000	34971	0.379466	0.425384	-0.012312	0.521732	-0.044557	0.032321
(140421,174178)(61220000,61269999)(61220000,61270000)	11	61245000	33759	0.345449	0.341478	0.028824	0.406158	0.017649	0.011599
(147867,180292)(61230000,61279999)(61230000,61280000)	11	61255000	32427	0.275197	0.220986	0.122379	0.220521	0.101334	0.029206
(153276,186157)(61240121,61289999)(61240000,61290000)	11	61265000	32883	0.268177	0.223120	0.200044	0.170743	0.141473	0.081726
(160702,192911)(61250020,61299999)(61250000,61300000)	11	61275000	32211	0.273745	0.220905	0.213364	0.164743	0.155111	0.084879
(167323,198456)(61260109,61309727)(61260000,61310000)	11	61285000	31135	0.267423	0.201134	0.222106	0.142292	0.168895	0.082270
(174179,202982)(61270000,61319999)(61270000,61320000)	11	61295000	28805	0.284440	0.231089	0.247429	0.156604	0.178085	0.106176
(180293,210238)(61280000,61329999)(61280000,61330000)	11	61305000	29947	0.247519	0.259451	0.243808	0.152642	0.131738	0.147721
(186158,218058)(61290000,61339999)(61290000,61340000)	11	61315000	31902	0.198686	0.228015	0.082020	0.197356	0.024146	0.061433
(192912,224129)(61300000,61349999)(61300000,61350000)	11	61325000	31219	0.158764	0.196972	0.083476	0.152541	0.020342	0.066825
(198457,230812)(61310007,61359988)(61310000,61360000)	11	61335000	32357	0.148922	0.212240	0.061583	0.168126	-0.006874	0.070435
(202983,237967)(61320000,61369999)(61320000,61370000)	11	61345000	34986	0.089671	0.157950	0.090139	0.085701	0.008249	0.086215
(210239,245567)(61330000,61379999)(61330000,61380000)	11	61355000	35330	0.142215	0.207454	0.112280	0.133404	0.019998	0.099100
(218059,252554)(61340000,61389999)(61340000,61390000)	11	61365000	34497	0.145662	0.251826	0.070512	0.187213	-0.029785	0.102906
(224130,258871)(61350000,61399993)(61350000,61400000)	11	61375000	34743	0.135491	0.252795	0.055412	0.190001	-0.044408	0.101415
(230813,266696)(61360000,61409999)(61360000,61410000)	11	61385000	35885	0.095558	0.207185	0.050345	0.140473	-0.040036	0.091693
(237968,273559)(61370000,61419999)(61370000,61420000)	11	61395000	35593	0.103788	0.216035	0.058675	0.146251	-0.036672	0.097140
(245568,278817)(61380000,61429999)(61380000,61430000)	11	61405000	33251	0.083245	0.175830	0.065598	0.106223	-0.019308	0.087156
